"init_cos_cut","prob_cut","f1_micro","f1_macro","f1_weighted","mcc","concordance"
0.3,0.3,0.795582600856435,0.771155917138878,0.819772332043349,0.746854137852335,0.759139784946237
0.3,0.4,0.793279600408673,0.765299228747896,0.814350347635272,0.738530391079515,0.751397849462366
0.3,0.5,0.788938407039195,0.758752634467771,0.807881711801795,0.729280547626681,0.742365591397849
0.3,0.6,0.788178472861085,0.755943954024302,0.805217760787897,0.723869345620437,0.736989247311828
0.3,0.7,0.782901614589383,0.7486697119985,0.797771586302855,0.712404525979141,0.724731182795699
0.4,0.3,0.796571944068561,0.771043424058616,0.819815784285261,0.747121585497364,0.759569892473118
0.4,0.4,0.79418446160836,0.765524100012983,0.814609245531126,0.738919406404003,0.751827956989247
0.4,0.5,0.79172382258802,0.760919966740916,0.810110679634095,0.731578226695928,0.744731182795699
0.4,0.6,0.789734146622166,0.756790790671146,0.806092584101569,0.724747284758768,0.737849462365591
0.4,0.7,0.783073703789816,0.748240920265351,0.797301636164862,0.712072497784437,0.724301075268817
0.5,0.3,0.79981945384789,0.772952208697295,0.821222005705467,0.749589605739133,0.762150537634409
0.5,0.4,0.7975,0.767421082800948,0.816353306641905,0.741551083163717,0.754623655913979
0.5,0.5,0.794184981684982,0.761675769321227,0.81038293118292,0.732949708512327,0.746021505376344
0.5,0.6,0.792122538293217,0.758009955305472,0.806955728920016,0.726521861740569,0.739569892473118
0.5,0.7,0.783925451368666,0.747407340558754,0.79581108105504,0.711716468742213,0.723655913978495
0.6,0.3,0.799774138904574,0.771914529099146,0.820791621807542,0.748740097549381,0.761505376344086
0.6,0.4,0.798408186469585,0.767758550858286,0.816700247845795,0.741941824799498,0.75505376344086
0.6,0.5,0.795464956481906,0.762539761901348,0.811461258074389,0.733764101326099,0.746881720430107
0.6,0.6,0.792344056266574,0.757585630874433,0.806763887486379,0.725975410625506,0.738924731182796
0.6,0.7,0.783815298507463,0.746539792595096,0.79521308449321,0.7109656054302,0.722795698924731
0.7,0.3,0.801673450927182,0.772130100133979,0.821478928095335,0.749393417166708,0.762365591397849
0.7,0.4,0.801683923085675,0.769992490513406,0.818835438172429,0.74445599816251,0.757634408602151
0.7,0.5,0.797340669417698,0.763378009437271,0.812366987757731,0.734827622138568,0.747956989247312
0.7,0.6,0.792740723615767,0.756089966912882,0.805051346190272,0.72475933921662,0.73741935483871
0.7,0.7,0.783534089580166,0.744123520348063,0.792421601284732,0.709100944243756,0.720430107526882
