"init_cos_cut","prob_cut","f1_micro","f1_macro","f1_weighted","mcc","concordance"
0.3,0.3,0.944756150194217,0.923385118925527,0.955318263015812,0.936418605553922,0.942315970727508
0.3,0.4,0.946698316788951,0.925372189403065,0.956655417328666,0.938482897611349,0.94425312096427
0.3,0.5,0.948742850976584,0.927338997483998,0.957993146256364,0.940517083155388,0.946190271201033
0.3,0.6,0.949061083531189,0.927698392083484,0.958178173327683,0.940739408774359,0.946405510116229
0.3,0.7,0.950787826462335,0.929578758061833,0.959391224548473,0.942584628367577,0.948127421437796
0.4,0.3,0.944756150194217,0.923385118925527,0.955318263015812,0.936418605553922,0.942315970727508
0.4,0.4,0.946698316788951,0.925372189403065,0.956655417328666,0.938482897611349,0.94425312096427
0.4,0.5,0.948742850976584,0.927338997483998,0.957993146256364,0.940517083155388,0.946190271201033
0.4,0.6,0.949061083531189,0.927698392083484,0.958178173327683,0.940739408774359,0.946405510116229
0.4,0.7,0.950787826462335,0.929578758061833,0.959391224548473,0.942584628367577,0.948127421437796
0.5,0.3,0.944756150194217,0.923385118925527,0.955318263015812,0.936418605553922,0.942315970727508
0.5,0.4,0.946698316788951,0.925372189403065,0.956655417328666,0.938482897611349,0.94425312096427
0.5,0.5,0.948742850976584,0.927338997483998,0.957993146256364,0.940517083155388,0.946190271201033
0.5,0.6,0.949061083531189,0.927698392083484,0.958178173327683,0.940739408774359,0.946405510116229
0.5,0.7,0.950787826462335,0.929578758061833,0.959391224548473,0.942584628367577,0.948127421437796
0.6,0.3,0.944756150194217,0.923385118925527,0.955318263015812,0.936418605553922,0.942315970727508
0.6,0.4,0.946698316788951,0.925372189403065,0.956655417328666,0.938482897611349,0.94425312096427
0.6,0.5,0.948742850976584,0.927338997483998,0.957993146256364,0.940517083155388,0.946190271201033
0.6,0.6,0.949061083531189,0.927698392083484,0.958178173327683,0.940739408774359,0.946405510116229
0.6,0.7,0.950787826462335,0.929578758061833,0.959391224548473,0.942584628367577,0.948127421437796
0.7,0.3,0.944756150194217,0.923385118925527,0.955318263015812,0.936418605553922,0.942315970727508
0.7,0.4,0.946698316788951,0.925372189403065,0.956655417328666,0.938482897611349,0.94425312096427
0.7,0.5,0.948742850976584,0.927338997483998,0.957993146256364,0.940517083155388,0.946190271201033
0.7,0.6,0.949061083531189,0.927698392083484,0.958178173327683,0.940739408774359,0.946405510116229
0.7,0.7,0.950787826462335,0.929578758061833,0.959391224548473,0.942584628367577,0.948127421437796
