"prior_neg","prior_singlet","prior_doublet","n_noise","f1_micro","f1_macro","f1_weighted","mcc","concordance"
0.01,0.5,0.49,4,0.170359217035922,0.20850100293947,0.226434309993461,0.218736984028347,0.170322580645161
0.01,0.5,0.49,5,0.378105172599204,0.440242500248468,0.475754212078535,0.400091323466201,0.378064516129032
0.01,0.5,0.49,6,0.657705129583826,0.664196968509901,0.7112301768699,0.638328798072829,0.65763440860215
0.01,0.5,0.49,7,0.716206043660609,0.70572170266378,0.753228473639982,0.691971076836054,0.716129032258065
0.01,0.6,0.39,4,0.319423531942353,0.376358633915705,0.409671644642285,0.349039449785921,0.319354838709677
0.01,0.6,0.39,5,0.688246047962147,0.684897317512548,0.733971772976745,0.664459381189834,0.688172043010753
0.01,0.6,0.39,6,0.737068501989461,0.718415510524663,0.766492434460169,0.710829666483516,0.736989247311828
0.01,0.6,0.39,7,0.756855575868373,0.729812595325625,0.778768174703687,0.730376689968782,0.756774193548387
0.01,0.7,0.29,4,0.640498978384773,0.646708640002835,0.696263374494689,0.620164466429338,0.640430107526882
0.01,0.7,0.29,5,0.761075268817204,0.731015370858932,0.780902707916794,0.734311702429895,0.761075268817204
0.01,0.7,0.29,6,0.766881720430107,0.734399176715805,0.78387313134128,0.740218082836304,0.766881720430107
0.01,0.7,0.29,7,0.782795698924731,0.744018183572475,0.793385373814512,0.757114803665162,0.782795698924731
0.01,0.8,0.19,4,0.770537634408602,0.736910910132716,0.786997435847189,0.744077464875583,0.770537634408602
0.01,0.8,0.19,5,0.795268817204301,0.747095294320807,0.798261487750629,0.770511456689685,0.795268817204301
0.01,0.8,0.19,6,0.791397849462366,0.746287273724576,0.797175062866925,0.766220245869452,0.791397849462366
0.01,0.8,0.19,7,0.804516129032258,0.755685769788143,0.805106140978435,0.780928512049808,0.804516129032258
0.01,0.85,0.14,4,0.802795698924731,0.754308511239155,0.80430928182367,0.778985732951552,0.802795698924731
0.01,0.85,0.14,5,0.805376344086022,0.750298124015839,0.802655663312798,0.781827722669586,0.805376344086022
